"month","avg_wt","sum_wt","nobs"
2014-08-01,2500.81088439544,184364780.019401,73722
2014-09-01,2477.13541762589,184430163.2485,74453
2014-10-01,2439.6715045363,184790478.439597,75744
2014-11-01,2456.02413742297,185007386.223797,75328
2014-12-01,2512.23910852615,184835480.170703,73574
2015-01-01,2513.55936759821,185287028.782502,73715
2015-02-01,2581.18100563302,185442368.168699,71844
2015-03-01,2559.50309487805,185791770.154102,72589
2015-04-01,2551.32151097559,185940311.719901,72880
2015-05-01,2580.27505226685,186272636.298197,72191
2015-06-01,2645.58180301731,186058477.042601,70328
2015-07-01,2604.49196404099,186215966.445003,71498
2015-08-01,2592.74874945912,186711615.694799,72013
2015-09-01,2594.10705198341,186835372.205001,72023
2015-10-01,2562.70068079224,186920824.956305,72939
2015-11-01,2573.93621328426,187305338.240696,72770
2015-12-01,2600.00764600036,186989949.8927,71919
2016-01-01,2604.04576027928,187590248.478999,72038
2016-02-01,2643.52193618975,187713849.166898,71009
2016-03-01,2664.32017198403,187898515.809002,70524
2016-04-01,2628.00466447012,188154621.957403,71596
2016-05-01,2637.6019793789,187857925.777303,71223
2016-06-01,2613.04345213344,188128676.379799,71996
2016-07-01,2588.29860932286,188148602.508898,72692
2016-08-01,2571.9610796443,188136381.014901,73149
2016-09-01,2548.08530234863,188451292.7911,73958
2016-10-01,2575.55124352605,188991374.698698,73379
2016-11-01,2595.61968695648,189166167.165701,72879
2016-12-01,2632.73125060971,189322336.962595,71911
2017-01-01,2623.54702334669,188719608.030397,71933
2017-02-01,2648.6320882154,188905737.795699,71322
2017-03-01,2648.0129098925,188980737.340298,71367
2017-04-01,2648.36410069737,189114383.702597,71408
2017-05-01,2713.0418902651,189343193.521601,69790
2017-06-01,2711.42438840036,189081179.725099,69735
2017-07-01,2685.67482260374,189130592.357401,70422
2017-08-01,2660.19828054026,189456661.341797,71219
2017-09-01,2646.66876136871,189850843.590501,71732
2017-10-01,2651.83242209726,190115170.004997,71692
2017-11-01,2669.6581084156,190303908.600298,71284
2017-12-01,2694.52706930501,190096190.212399,70549
2018-01-01,2739.43807720616,190514221.079302,69545
2018-02-01,2776.35438831835,190871587.842498,68749
2018-03-01,2761.91611257852,191248881.2155,69245
